WaypointN,Missiontime,Result,runtimes
2,11.62076357473228,10.80124988097091,0.0011363029479980469
3,20.09063038558916,18.774983392501206,0.0015828609466552734
4,20.70206363105029,19.088529335081564,0.0023193359375
5,21.057760307578004,19.589821708138285,0.002164125442504883
6,21.97075706984172,19.948848500781672,0.004501819610595703
7,22.16074838318657,20.076011975083528,0.00527501106262207
8,22.359986398695597,19.996810313729352,0.00715184211730957
9,22.52736646106783,20.019568034795416,0.011717081069946289
10,24.141260272155773,20.98281415942172,0.010105371475219727
