Runtime,waypointN,TSPOut,waypoints,ordered_points,missiontime
0.0008094310760498047,2," 
 0 -> 2 -> 1 -> 0
","[(0, 0), (11, 54), (4, 49)]","[(0, 0), (4, 49), (11, 54), (0, 0)]",11.62076357473228
0.0005915164947509766,3," 
 0 -> 2 -> 1 -> 3 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26)]","[(0, 0), (4, 49), (11, 54), (69, 26), (0, 0)]",20.09063038558916
0.0006494522094726562,4," 
 0 -> 4 -> 2 -> 1 -> 3 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39)]","[(0, 0), (12, 39), (4, 49), (11, 54), (69, 26), (0, 0)]",20.70206363105029
0.0007836818695068359,5," 
 0 -> 5 -> 3 -> 1 -> 2 -> 4 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1)]","[(0, 0), (25, 1), (69, 26), (11, 54), (4, 49), (12, 39), (0, 0)]",21.057760307578004
0.0008916854858398438,6," 
 0 -> 5 -> 3 -> 1 -> 2 -> 4 -> 6 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1), (17, 12)]","[(0, 0), (25, 1), (69, 26), (11, 54), (4, 49), (12, 39), (17, 12), (0, 0)]",21.970757069841717
0.000997304916381836,7," 
 0 -> 6 -> 4 -> 2 -> 1 -> 3 -> 7 -> 5 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1), (17, 12), (38, 11)]","[(0, 0), (17, 12), (12, 39), (4, 49), (11, 54), (69, 26), (38, 11), (25, 1), (0, 0)]",22.16074838318657
0.0011000633239746094,8," 
 0 -> 6 -> 4 -> 2 -> 1 -> 8 -> 3 -> 7 -> 5 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1), (17, 12), (38, 11), (28, 49)]","[(0, 0), (17, 12), (12, 39), (4, 49), (11, 54), (28, 49), (69, 26), (38, 11), (25, 1), (0, 0)]",22.359986398695593
0.0012640953063964844,9," 
 0 -> 6 -> 4 -> 2 -> 1 -> 8 -> 9 -> 3 -> 7 -> 5 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1), (17, 12), (38, 11), (28, 49), (52, 36)]","[(0, 0), (17, 12), (12, 39), (4, 49), (11, 54), (28, 49), (52, 36), (69, 26), (38, 11), (25, 1), (0, 0)]",22.52736646106783
0.0018417835235595703,10," 
 0 -> 6 -> 4 -> 2 -> 1 -> 8 -> 10 -> 9 -> 3 -> 7 -> 5 -> 0
","[(0, 0), (11, 54), (4, 49), (69, 26), (12, 39), (25, 1), (17, 12), (38, 11), (28, 49), (52, 36), (36, 27)]","[(0, 0), (17, 12), (12, 39), (4, 49), (11, 54), (28, 49), (36, 27), (52, 36), (69, 26), (38, 11), (25, 1), (0, 0)]",24.141260272155773
