WaypointN,Missiontime,Result
2,4.137485276488526,3.4588550428761935
3,5.548241350534541,4.720328367970224
4,7.594692127359304,6.23425251986081
5,7.888203409411481,6.5513172801678365
6,7.888203409411481,6.49621290376096
