Runtime,waypointN,TSPOut,waypoints,ordered_points,missiontime
0.0017478466033935547,10," 
 0 -> 10 -> 4 -> 6 -> 1 -> 3 -> 8 -> 2 -> 7 -> 9 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33)]","[(0, 0), (33, 33), (55, 32), (63, 31), (82, 13), (97, 10), (97, 52), (95, 78), (79, 74), (72, 58), (29, 52), (0, 0)]",33.98802213146616
0.0013971328735351562,11," 
 0 -> 10 -> 4 -> 6 -> 1 -> 3 -> 8 -> 2 -> 7 -> 9 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59)]","[(0, 0), (33, 33), (55, 32), (63, 31), (82, 13), (97, 10), (97, 52), (95, 78), (79, 74), (72, 58), (46, 59), (29, 52), (0, 0)]",34.253430126250905
0.0017502307891845703,12," 
 0 -> 10 -> 4 -> 12 -> 6 -> 1 -> 3 -> 8 -> 2 -> 7 -> 9 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38)]","[(0, 0), (33, 33), (55, 32), (64, 38), (63, 31), (82, 13), (97, 10), (97, 52), (95, 78), (79, 74), (72, 58), (46, 59), (29, 52), (0, 0)]",35.40264318191346
0.001834869384765625,13," 
 0 -> 10 -> 4 -> 12 -> 6 -> 1 -> 3 -> 8 -> 2 -> 7 -> 9 -> 13 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95)]","[(0, 0), (33, 33), (55, 32), (64, 38), (63, 31), (82, 13), (97, 10), (97, 52), (95, 78), (79, 74), (72, 58), (47, 95), (46, 59), (29, 52), (0, 0)]",41.03419881575562
0.002007007598876953,14," 
 0 -> 10 -> 4 -> 12 -> 6 -> 1 -> 3 -> 8 -> 14 -> 2 -> 7 -> 9 -> 13 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53)]","[(0, 0), (33, 33), (55, 32), (64, 38), (63, 31), (82, 13), (97, 10), (97, 52), (95, 53), (95, 78), (79, 74), (72, 58), (47, 95), (46, 59), (29, 52), (0, 0)]",41.31679131809121
0.0030164718627929688,15," 
 0 -> 10 -> 4 -> 6 -> 12 -> 15 -> 1 -> 3 -> 8 -> 14 -> 2 -> 7 -> 9 -> 13 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53), (69, 40)]","[(0, 0), (33, 33), (55, 32), (63, 31), (64, 38), (69, 40), (82, 13), (97, 10), (97, 52), (95, 53), (95, 78), (79, 74), (72, 58), (47, 95), (46, 59), (29, 52), (0, 0)]",42.12594920475585
0.004111289978027344,16," 
 0 -> 10 -> 4 -> 6 -> 1 -> 3 -> 12 -> 15 -> 9 -> 14 -> 8 -> 2 -> 7 -> 13 -> 16 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53), (69, 40), (25, 74)]","[(0, 0), (33, 33), (55, 32), (63, 31), (82, 13), (97, 10), (64, 38), (69, 40), (72, 58), (95, 53), (97, 52), (95, 78), (79, 74), (47, 95), (25, 74), (46, 59), (29, 52), (0, 0)]",45.256516359155576
0.0036907196044921875,17," 
 0 -> 10 -> 4 -> 6 -> 1 -> 3 -> 12 -> 15 -> 9 -> 14 -> 8 -> 2 -> 7 -> 17 -> 13 -> 16 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53), (69, 40), (25, 74), (59, 96)]","[(0, 0), (33, 33), (55, 32), (63, 31), (82, 13), (97, 10), (64, 38), (69, 40), (72, 58), (95, 53), (97, 52), (95, 78), (79, 74), (59, 96), (47, 95), (25, 74), (46, 59), (29, 52), (0, 0)]",45.77302439136425
0.0031108856201171875,18," 
 0 -> 10 -> 4 -> 6 -> 1 -> 3 -> 12 -> 15 -> 9 -> 18 -> 14 -> 8 -> 2 -> 7 -> 17 -> 13 -> 16 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53), (69, 40), (25, 74), (59, 96), (77, 51)]","[(0, 0), (33, 33), (55, 32), (63, 31), (82, 13), (97, 10), (64, 38), (69, 40), (72, 58), (77, 51), (95, 53), (97, 52), (95, 78), (79, 74), (59, 96), (47, 95), (25, 74), (46, 59), (29, 52), (0, 0)]",46.2572801531747
0.004730939865112305,19," 
 0 -> 10 -> 4 -> 19 -> 1 -> 3 -> 6 -> 12 -> 15 -> 9 -> 18 -> 14 -> 8 -> 2 -> 7 -> 17 -> 13 -> 16 -> 11 -> 5 -> 0
","[(0, 0), (82, 13), (95, 78), (97, 10), (55, 32), (29, 52), (63, 31), (79, 74), (97, 52), (72, 58), (33, 33), (46, 59), (64, 38), (47, 95), (95, 53), (69, 40), (25, 74), (59, 96), (77, 51), (60, 27)]","[(0, 0), (33, 33), (55, 32), (60, 27), (82, 13), (97, 10), (63, 31), (64, 38), (69, 40), (72, 58), (77, 51), (95, 53), (97, 52), (95, 78), (79, 74), (59, 96), (47, 95), (25, 74), (46, 59), (29, 52), (0, 0)]",46.690796342666324
